Sample Nr,Date sampled,Time,Month,Location,Country,Sample description,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe [mg/L]  
46,04-10-19,18:40,10,Lake,KG,reservoir,reservoir,42.971494,74.602249,14,8,360,180,1.9,0.32,0.07
47,17-10-19,11:42,10,Alplager,KG,streamflow,streamwater, 42.565388?, 74.479548?,5,7.6,70,30,0.552,0.008,0.071
48,17-10-19,12:13,10,Baityk,KG,streamflow,streamwater, 42.647609?, 74.495405?,6,7.6,120,50,0.38,0.517,0.071
49,17-10-19,12:53,10,Zarechnoe,KG,streamflow,streamwater, 42.758631?, 74.571057?,10,7.7,130,60,0.511,0.257,0.072
50,17-10-19,15:15,10,Bridge,KG,streamflow,reservoir, 42.950108?, 74.592261?,14,8.1,320,160,1.61,0.244,0.071
1,03-06-19,13:14,6,"Pskem river, Mulala gaging station",UZ,muddy water,streamwater,41.771928,70.190761,11,8.2,160,80,0.57,,0
2,03-06-19,14:35,6,"Chircik river, downstream Charvak reserv. Dam",UZ,clear water,streamwater,41.630271,69.953152,14,8.3,190,90,0.7,,
3,03-06-19,14:57,6,"Spring on left bank of Chirhik, Hodjakent vil.",UZ,clear water,groundwater,41.622935,69.940481,15,8,260,130,1.24,,0
4,03-06-19,15:30,6,"Chircik river, downstream Gazalkent town",UZ,clear water,streamwater,41.52991,69.68849,19,7.6,580,290,2.01,,0.01
5,03-06-19,15:55,6,"Chirhik river, near Chirchik town",UZ,clear water,streamwater,41.430512,69.582846,15,8.4,210,100,0.64,,0
6,03-06-19,16:58,6,Chirchik river near Tashkent,UZ,clear water,streamwater,41.262264,69.375302,19,8.2,240,120,1.48,,0.02
7,03-06-19,18:10,6,"Chirhik river, downstream Tashkent town",UZ,clear water,streamwater,41.168056,69.231661,20,8,280,140,1.75,,0.01
8,03-06-19,19:10,6,Chirchik river near inflow to Syrdarya river,UZ,muddy water,streamwater,40.900364,68.709182,23,8,500,250,2.03,0.06,
9,16-06-19,13:14,6,"Pskem river, Mulala gaging station",UZ,clear water,streamwater,41.771928,70.190761,12,8.2,150,70,0.55,,0
10,16-06-19,14:35,6,"Chircik river, downstream Charvak reserv. Dam",UZ,clear water,streamwater,41.630271,69.953152,14,8.3,180,90,0.58,,
11,16-06-19,14:57,6,"Spring on left bank of Chirhik, Hodjakent vil.",UZ,clear water,groundwater,41.622935,69.940481,16,8.1,260,120,1.07,,
12,16-06-19,15:30,6,"Chircik river, downstream Gazalkent town",UZ,clear water,streamwater,41.52991,69.68849,18,8.2,150,70,1.13,0.12,
13,16-06-19,15:55,6,"Chirhik river, near Chirchik town",UZ,clear water,streamwater,41.430512,69.582846,18,8.4,210,140,0.79,,
14,16-06-19,16:58,6,Chirchik river near Tashkent,UZ,muddy water,streamwater,41.262264,69.375302,21,7.9,460,230,5.16,,
15,16-06-19,18:10,6,"Chirhik river, downstream Tashkent town",UZ,clear water,streamwater,41.168056,69.231661,28,7.8,510,250,4.71,,0
16,16-06-19,19:10,6,Chirchik river near inflow to Syrdarya river,UZ,muddy water,streamwater,40.900364,68.709182,25,8.1,810,400,2.57,2.67,0
17,02-07-19,12:45,7,"Pskem river, Mulala gaging station",UZ,muddy water,streamwater,41.771928,70.190761,12,8.2,140,70,0.64,,0.05
18,02-07-19,13:45,7,"Chircik river, downstream Charvak reserv. Dam",UZ,clear water,streamwater,41.630271,69.953152,13,8.3,170,80,0.63,,0.05
19,02-07-19,15:15,7,"Spring on left bank of Chirhik, Hodjakent vil.",UZ,clear water,groundwater,41.622935,69.940481,16,8.2,250,120,6.73,,0.05
20,02-07-19,16:30,7,"Chircik river, downstream Gazalkent town",UZ,clear water,streamwater,41.52991,69.68849,18,8.2,240,120,3.58,,0.04
